nazwa_cwiczenia,nazwa_angielska,zrodlo,kategoria,poziom_trudnosci,pozycja_wyjsciowa,potrzebny_sprzet,liczba_powtorzen,czas_trwania_sekund,strony_ciala,ruch_glowny,wspomagane_krzeslem,mozna_w_lozku,mozna_siedzac,wymaga_stania,wymaga_podlogi,zalecane_schorzenia,przeciwwskazania,cel_terapeutyczny,wplyw_na_rownowage,wplyw_na_sile,wplyw_na_elastycznosc,wplyw_na_kardio,wplyw_na_postawe,intensywnosc,uwagi_bezpieczenstwa,opis_wykonania
Chód pięta do palców,Walking Heel to Toe,Strength-and-Balance-Exercises.pdf,równowaga_chód,łatwy,stojąca,brak,20 kroków,,nogi,chód tandemowy,nie,nie,nie,tak,nie,problemy z równowagą; profilaktyka upadków,,,wysoki,niski,niski,niski,niski,niska,W pobliżu ściany jeśli niestabilny,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: chód tandemowy. Wykonaj około 20 kroków powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: W pobliżu ściany jeśli niestabilny. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kołysanie łodzią,Rock the Boat,Strength-and-Balance-Exercises.pdf,równowaga,łatwy,stojąca,krzesło opcjonalnie,5 na stronę,do 30,"nogi, biodra",unoszenie nogi bokiem,opcjonalnie,nie,nie,tak,nie,problemy z równowagą,,poprawa równowagi,wysoki,średni,niski,niski,niski,niska,Trzymać się krzesła na początku,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło opcjonalnie. Następnie wykonuj ruch główny: unoszenie nogi bokiem. Wykonaj około 5 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około do 30 sekund. Zwróć uwagę na bezpieczeństwo: Trzymać się krzesła na początku. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie palców stóp,Toe Lifts,Strength-and-Balance-Exercises.pdf,siła_równowaga,łatwy,stojąca,krzesło lub blat,20,,"łydki, stopy",wspięcie na palce,tak,nie,nie,tak,nie,słabe łydki; osteoporoza,,wzmocnienie łydek i równowaga,wysoki,wysoki,niski,niski,niski,niska,Nie opierać się zbyt mocno o krzesło,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło lub blat. Następnie wykonuj ruch główny: wspięcie na palce. Wykonaj około 20 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie opierać się zbyt mocno o krzesło. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Stanie na jednej nodze,Single Limb Stance,Strength-and-Balance-Exercises.pdf,równowaga,łatwy,stojąca,krzesło,do 10,do 60,"nogi, tułów",balans jednopodporowy,tak,nie,nie,tak,nie,profilaktyka upadków,,poprawa równowagi,wysoki,średni,niski,niski,niski,niska,Dążyć do stania bez trzymania przez 1 minutę,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: balans jednopodporowy. Wykonaj około do 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około do 60 sekund. Zwróć uwagę na bezpieczeństwo: Dążyć do stania bez trzymania przez 1 minutę. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nogi w tył,Back Leg Raises,Strength-and-Balance-Exercises.pdf,siła,łatwy,stojąca,krzesło,10-15,,"pośladki, dolna część pleców",prostowanie nogi w tył,tak,nie,nie,tak,nie,słabe pośladki; ból pleców,,wzmocnienie pośladków i dolnych pleców,niski,wysoki,niski,niski,niski,niska,Nie zginać kolana; nie wskazywać palcami,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: prostowanie nogi w tył. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie zginać kolana; nie wskazywać palcami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nogi w bok,Side Leg Raise,Strength-and-Balance-Exercises.pdf,siła_równowaga,łatwy,stojąca,krzesło,10-15,,"biodra, pośladki",odwodzenie nogi,tak,nie,nie,tak,nie,słabe biodra,,wzmocnienie bioder i równowaga,średni,wysoki,niski,niski,niski,niska,Plecy proste; palce skierowane do przodu,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: odwodzenie nogi. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Plecy proste; palce skierowane do przodu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ćwiczenia dłoni i palców,Hand and Finger Exercises,Strength-and-Balance-Exercises.pdf,elastyczność,łatwy,stojąca lub siedząca,brak,,,dłonie i palce,wspinanie palców po ścianie,nie,nie,tak,nie,nie,zapalenie stawów,,poprawa ruchomości dłoni,niski,niski,wysoki,niski,niski,bardzo niska,Delikatne ruchy,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Następnie wykonuj ruch główny: wspinanie palców po ścianie. Zwróć uwagę na bezpieczeństwo: Delikatne ruchy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rolowanie ramion,Shoulder Rolls,Strength-and-Balance-Exercises.pdf,elastyczność_postura,łatwy,stojąca lub siedząca,brak,,,ramiona,okrężne ruchy ramionami,nie,nie,tak,nie,nie,napięcie karku; problemy z postawą,,rozluźnienie i ruchomość ramion,niski,niski,wysoki,niski,wysoki,bardzo niska,Wolne płynne ruchy,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Następnie wykonuj ruch główny: okrężne ruchy ramionami. Zwróć uwagę na bezpieczeństwo: Wolne płynne ruchy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pompki przy ścianie,Wall Pushups,Strength-and-Balance-Exercises.pdf,siła,łatwy,stojąca,ściana,20,,"klatka piersiowa, ramiona, triceps",odpychanie od ściany,nie,nie,nie,tak,nie,słabe ramiona,,wzmocnienie górnej części ciała,niski,wysoki,niski,niski,niski,niska,Stać o długość ramienia od ściany,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana. Następnie wykonuj ruch główny: odpychanie od ściany. Wykonaj około 20 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Stać o długość ramienia od ściany. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Marsz w miejscu,Marching in Place,Strength-and-Balance-Exercises.pdf,równowaga_kardio,łatwy,stojąca,krzesło opcjonalnie,20,,"nogi, biodra",naprzemienne unoszenie kolan,opcjonalnie,nie,nie,tak,nie,słaba kondycja; problemy z równowagą,,kardio i równowaga,wysoki,średni,niski,średni,niski,niska,Trzymać się blatu jeśli potrzeba,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło opcjonalnie. Następnie wykonuj ruch główny: naprzemienne unoszenie kolan. Wykonaj około 20 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Trzymać się blatu jeśli potrzeba. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
